,Headphone Names,Price,Rating
0,"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Dri...",949,4.1
1,boAt Rockerz 235v2/238 with ASAP Charge and upto 8 Hour...,849,4.2
2,"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Dri...",949,4.1
3,boAt Rockerz 205v2 Bluetooth Headset,"1,149",4.1
4,boAt Rockerz 255F Pro with ASAP Charge and upto 10 Hour...,949,4.2
5,boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"1,299",4.2
6,boAt Rockerz 235v2/238 with ASAP Charge and upto 8 Hour...,849,4.3
7,boAt Bassheads 103 Black Wired Headset,349,4
8,boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headse...,"1,299",4.1
9,boAt Rockerz 255F Pro with Fast Charging Bluetooth Head...,999,4.2
10,boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"1,299",4.2
11,boAt Rockerz 235v2/238 with ASAP Charge and upto 8 Hour...,999,4.1
12,"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Dri...",999,4
13,DigiClues T-2 TWS With Power-Bank HQ Bluetooth Headset,999,4.3
14,boAt Bassheads 242 Wired Headset,449,3.9
15,boAt Airdopes 381 with ASAP charge Bluetooth Headset,"1,499",4
16,boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headse...,"1,299",4.2
17,boAt Rockerz 255F Bluetooth Headset,899,4.2
18,boAt BassHeads 220 Wired Headset,499,4.3
19,boAt Bassheads 100 Wired Headset,349,4.4
20,boAt Rockerz 510 Super Extra Bass Bluetooth Headset,999,4.3
21,boAt Bassheads 103 Blue Wired Headset,349,4.3
22,boAt Bassheads 242 Wired Headset,399,4.2
23,boAt Rockerz 235v2 Bluetooth Headset,899,4.3
24,"boAt Airdopes 115 with ENx & Beast Mode, upto 24 Hrs Pl...","1,399",3.3
25,DigiClues T-8 Smart TWS with Power Bank Bluetooth Heads...,"1,172",3.9
26,boAt Airdopes 402 Bluetooth Headset,"1,399",4.2
27,boAt Rockerz 255F Bluetooth Headset,899,4.3
28,"boAt Airdopes 115 with ENx & Beast Mode, upto 24 Hrs Pl...","1,399",4.2
29,boAt Rockerz 370 Bluetooth Headset,849,4.3
30,boAt Bassheads 242 Wired Headset,449,4.1
31,boAt Rockerz 333 Pro with 60 Hours Battery Bluetooth He...,"1,499",4.3
32,boAt Bassheads 103 Wired Headset,399,4.3
33,boAt BassHeads 900 Wired Headset,679,4.1
34,boAt Rockerz 255F Pro with Fast Charging Bluetooth Head...,949,4.2
35,boAt Rockerz 255F Bluetooth Headset,899,4.4
36,boAt Rockerz 510 Super Extra Bass Bluetooth Headset,999,4.1
37,boAt Rockerz 255F Pro with Fast Charging Bluetooth Head...,949,4.4
38,"TEQIR TR- 51 Wireless Neckband with 36 Hours Playtime, ...",598,3.9
39,boAt Airdopes 402 Bluetooth Headset,"1,399",4.3
